"Motu","avg_breeding_density_ha_motu","std_breeding_density_ha_motu","avg_breeding_biomass_kgha_motu","std_breeding_biomass_kgha_motu"
"Aie",1076.66666666667,240.416305603426,549.33,60.2596398927175
"Auroa",1018.18181818182,179.990817029303,998.274545454545,169.389357906277
"Hiraanae",1100,248.27304761661,1099.96962962963,246.111919780184
"Honuea",3.33333333333333,NA,0.63,NA
"Onetahi",8.33333333333333,7.07106781186547,1.575,1.33643181644257
"Oroatera",432.962962962963,170.22941028565,428.101511111111,163.537519318997
"Reiono",298.947368421053,80.3868761769969,280.844210526316,72.9198285676671
"Rimatuu",41.8575851393189,47.2863977511747,7.27578947368421,8.0386876176997
"Tahuna Iti",2473.33333333333,540.54385050705,583.496666666667,129.332972975825
"Tahuna Rahi",1576,1097.42972440152,610.692,94.0338881893118
"Tauini",1160,265.437007091566,1123.34307692308,268.12836428642
"Tiaraunu",160.075410719095,81.7372018543674,163.200732561271,80.1192775508956
