"FPSOTE_habitats_2m","StuartC_Coarse_Habitat_Classes"
"Shallow fore reef slope","Coral reef and hardbottom"
"Shallow fore reef terrace","Coral reef and hardbottom"
"Coralline algal ridge","Coral reef and hardbottom"
"Deep fore reef slope","Coral reef and hardbottom"
"Back reef coral framework","Coral reef and hardbottom"
"Back reef coral bommies","Coral reef and hardbottom"
"Back reef sediment dominated","Unconsolidated sediment"
"Back reef rubble dominated","Coral reef and hardbottom"
"Back reef pavement","Coral reef and hardbottom"
"Rock","Rock"
"Beach sand","Unconsolidated sediment"
"Coral rubble","Coral reef and hardbottom"
"Terrestrial vegetation","Terrestrial vegetation"
"Lagoonal pinnacle reefs massive coral dominated","Coral reef and hardbottom"
"Lagoonal floor barren","Unconsolidated sediment"
"Lagoonal patch reefs","Coral reef and hardbottom"
"Lagoonal floor coral bommies","Coral reef and hardbottom"
"Lagoonal sediment apron sediment dominated","Unconsolidated sediment"
"Deep lagoonal water","Deep lagoonal water"
"Urban","Urban"
"Lagoonal floor macroalgae on sediment","Unconsolidated sediment"
"Area not mapped","Area not mapped"
